"square","start","region"
3.4815,9634.74,"Черкаська область"
2.8916,5181.9,"Львівська область"
4.9,3778.29,"Донецька область"
0.2207,268.7,"Черкаська область"
0.0945,8016.72,"Івано-Франківська область"
0.0848,56.04,"Сумська область"
0.0014,643.2,"Рівненська область"
2.33,8343.27,"Черкаська область"
68.0195,86287.55,"Чернігівська область"
9.9999,12991.55,"Волинська область"
23.4955,9593.64,"Чернігівська область"
18,40472.56,"Кіровоградська область"
0.2842,18557.69,"Дніпропетровська область"
4.2993,10934.24,"Вінницька область"
7.454,566.18,"Житомирська область"
0.6001,1870.57,"Запорізька область"
47.63,51114.89,"Хмельницька область"
38.4908,10620.22,"Чернігівська область"
2.8056,3511.36,"Тернопільська область"
12,52748.27,"Вінницька область"
13.2599,619.8,"Сумська область"
5.2729,20975.65,"Черкаська область"
0.044,6615.31,"Івано-Франківська область"
6.5001,14380.27,"Кіровоградська область"
16.4,36707.49,"Чернігівська область"
46.5041,96950,"Одеська область"
9.4276,17747.24,"Львівська область"
9.468,20090,"Одеська область"
3.1824,917.47,"Черкаська область"
11.51,4800.69,"Тернопільська область"
5.7834,18022.95,"Полтавська область"
16.9135,6498.58,"Херсонська область"
7.2715,25640.64,"Черкаська область"
1.8617,5206.6,"Донецька область"
11.0802,23759.51,"Черкаська область"
11.6955,14040.43,"Волинська область"
19.7398,13608.37,"Сумська область"
0.04,9348.75,"Львівська область"
35.7635,27620.3,"Кіровоградська область"
1.1,2326.02,"Сумська область"
13.3356,18010,"Одеська область"
6.1028,13199.1,"Кіровоградська область"
4.8679,1365.22,"Житомирська область"
6.9,13114.44,"Львівська область"
3.3321,3309.51,"Черкаська область"
7.77,21902.72,"Кіровоградська область"
16.62,6473.81,"Львівська область"
11,16386.71,"Хмельницька область"
3.7342,7798.48,"Вінницька область"
12.1651,16287.38,"Черкаська область"
11.3999,2543.55,"Черкаська область"
2.873,842.13,"Черкаська область"
12.2354,35327.72,"Кіровоградська область"
92.7867,33330.59,"Сумська область"
38.2996,37700.71,"Чернігівська область"
8,7920.53,"Хмельницька область"
3.6801,19939.69,"Тернопільська область"
24.0076,50986.87,"Сумська область"
1,3684.55,"Волинська область"
7.8109,18865.58,"Чернівецька область"
8.998,8357.81,"Сумська область"
1.8128,3394.93,"Полтавська область"
0.0743,19813.5,"Кіровоградська область"
